@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1378,'2019/01/26 16:11:06:680',9,0.007294,0.00621,1.007416,1.007451,0.000498,0,0,0,0.001833,0.011817
1379,'2019/01/26 16:11:06:710',9,0.007294,0.00621,1.008835,1.00886,0.000668,0,0,0,0.001833,0.011817
1380,'2019/01/26 16:11:06:741',9,0.007294,0.00621,1.006104,1.006136,0.000778,0,0,0,0.001833,0.011817
1381,'2019/01/26 16:11:06:778',9,0.007294,0.00621,1.009247,1.009284,0.000906,0,0,0,0.001833,0.011817
1382,'2019/01/26 16:11:06:801',9,0.007294,0.00621,1.007278,1.007305,0.000889,0,0,0,0.001833,0.011817
1383,'2019/01/26 16:11:06:900',9,0.00705,0.005402,1.007996,1.008023,0.000897,0,0,0,0.001833,0.011817
1384,'2019/01/26 16:11:06:900',9,0.00705,0.00528,1.007813,1.00784,0.000897,0,0,0,0.001833,0.011817
1385,'2019/01/26 16:11:06:902',9,0.007065,0.004974,1.006699,1.006735,0.000874,0,0,0,0.001833,0.011817
1386,'2019/01/26 16:11:06:920',9,0.007065,0.004974,1.007874,1.007907,0.000876,0,0,0,0.001833,0.011817
1387,'2019/01/26 16:11:06:951',9,0.007065,0.004974,1.007431,1.007463,0.000877,0,0,0,0.001833,0.011817
1388,'2019/01/26 16:11:06:981',9,0.007065,0.004974,1.008286,1.008315,0.00089,0,0,0,0.001833,0.011817
1389,'2019/01/26 16:11:07:011',9,0.007568,0.004974,1.006592,1.00663,0.000872,0,0,0,0.001833,0.011817
1390,'2019/01/26 16:11:07:045',9,0.007568,0.004974,1.007751,1.007782,0.000731,0,0,0,0.001833,0.011817
1391,'2019/01/26 16:11:07:071',9,0.007568,0.004959,1.00766,1.007698,0.000519,0,0,0,0.001833,0.011817
1392,'2019/01/26 16:11:07:102',9,0.007568,0.004959,1.007538,1.00757,0.000512,0,0,0,0.001833,0.011817
1393,'2019/01/26 16:11:07:132',9,0.008041,0.004883,1.00885,1.008892,0.000634,0,0,0,0.001833,0.011817
1394,'2019/01/26 16:11:07:163',9,0.008041,0.005783,1.00618,1.006216,0.000767,0,0,0,0.001833,0.011817
1395,'2019/01/26 16:11:07:193',9,0.008041,0.005783,1.008392,1.008426,0.000761,0,0,0,0.001833,0.011817
1396,'2019/01/26 16:11:07:222',9,0.008041,0.005783,1.006546,1.00658,0.000825,0,0,0,0.001833,0.011817
1397,'2019/01/26 16:11:07:252',9,0.008041,0.005783,1.00827,1.008296,0.000853,0,0,0,0.001833,0.011817
1398,'2019/01/26 16:11:07:288',9,0.008041,0.005783,1.006607,1.006634,0.000868,0,0,0,0.001833,0.011817
1399,'2019/01/26 16:11:07:313',9,0.008041,0.005783,1.005981,1.006012,0.000944,0,0,0,0.001833,0.011817
1400,'2019/01/26 16:11:07:348',9,0.008041,0.005783,1.009323,1.009363,0.001109,0,0,0,0.001833,0.011817
1401,'2019/01/26 16:11:07:375',9,0.008041,0.005783,1.006546,1.006578,0.001147,0,0,0,0.001833,0.011817
1402,'2019/01/26 16:11:07:403',9,0.008041,0.005783,1.009644,1.009675,0.001327,0,0,0,0.001833,0.011817
1403,'2019/01/26 16:11:07:440',9,0.007202,0.005783,1.007492,1.007524,0.001264,0,0,0,0.001833,0.011817
1404,'2019/01/26 16:11:07:463',9,0.007202,0.0056,1.007706,1.007734,0.001185,0,0,0,0.001833,0.011817
1405,'2019/01/26 16:11:07:494',9,0.007202,0.0056,1.008026,1.00806,0.001167,0,0,0,0.001833,0.011817
1406,'2019/01/26 16:11:07:524',9,0.007019,0.0056,1.008255,1.008293,0.001123,0,0,0,0.001833,0.011817
1407,'2019/01/26 16:11:07:610',9,0.007019,0.0056,1.008774,1.0088,0.001154,0,0,0,0.001833,0.011817
1408,'2019/01/26 16:11:07:610',9,0.007019,0.0056,1.006165,1.006196,0.001208,0,0,0,0.001833,0.011817
1409,'2019/01/26 16:11:07:614',9,0.007019,0.0056,1.008698,1.00873,0.001067,0,0,0,0.001833,0.011817
1410,'2019/01/26 16:11:07:644',9,0.007294,0.005524,1.005951,1.005993,0.001146,0,0,0,0.001833,0.011817
1411,'2019/01/26 16:11:07:674',9,0.007294,0.005524,1.009399,1.009427,0.001171,0,0,0,0.001833,0.011817
1412,'2019/01/26 16:11:07:704',9,0.007294,0.005524,1.008041,1.00807,0.001039,0,0,0,0.001833,0.011817
1413,'2019/01/26 16:11:07:734',9,0.007294,0.005524,1.006104,1.006135,0.001163,0,0,0,0.001833,0.011817
1414,'2019/01/26 16:11:07:765',9,0.007431,0.005524,1.008987,1.009023,0.001225,0,0,0,0.001833,0.011817
1415,'2019/01/26 16:11:07:806',9,0.007431,0.005524,1.005951,1.00598,0.001345,0,0,0,0.001833,0.011817
1416,'2019/01/26 16:11:07:827',9,0.007431,0.005524,1.008087,1.008121,0.001338,0,0,0,0.001833,0.011817
1417,'2019/01/26 16:11:07:856',9,0.007431,0.005524,1.006699,1.006733,0.001303,0,0,0,0.001833,0.011817
1418,'2019/01/26 16:11:07:888',9,0.007431,0.005524,1.008377,1.008414,0.00126,0,0,0,0.001833,0.011817
1419,'2019/01/26 16:11:07:915',9,0.007431,0.005524,1.008499,1.008534,0.001245,0,0,0,0.001833,0.011817
1420,'2019/01/26 16:11:07:950',9,0.007431,0.005463,1.00531,1.005338,0.001341,0,0,0,0.001833,0.011817
1421,'2019/01/26 16:11:07:976',9,0.007431,0.005646,1.009216,1.009249,0.001317,0,0,0,0.001833,0.011817
1422,'2019/01/26 16:11:08:009',9,0.007599,0.005646,1.007263,1.007304,0.001307,0,0,0,0.001833,0.011817
1423,'2019/01/26 16:11:08:036',9,0.007599,0.005646,1.008545,1.008575,0.00126,0,0,0,0.001833,0.011817
1424,'2019/01/26 16:11:08:065',9,0.007599,0.005646,1.006256,1.006292,0.001246,0,0,0,0.001833,0.011817
1425,'2019/01/26 16:11:08:096',9,0.007599,0.005646,1.008301,1.008329,0.001166,0,0,0,0.001833,0.011817
1426,'2019/01/26 16:11:08:128',9,0.007599,0.005646,1.007065,1.007094,0.001168,0,0,0,0.001833,0.011817
1427,'2019/01/26 16:11:44:278',10,0.003754,0,-0.97821,0.986616,0.009126,0,1.021176,1.021176,0.001833,0.011817
1428,'2019/01/26 16:11:44:307',10,0.003754,0,-0.981995,0.990491,0.008832,0,1.021176,1.021176,0.001833,0.011817
1429,'2019/01/26 16:11:44:339',10,0.003754,0,-0.993362,1.002003,0.008896,0,1.021176,1.021176,0.001833,0.011817
1430,'2019/01/26 16:11:44:367',10,0.003754,0,-0.979843,0.989864,0.008962,0,1.021176,1.021176,0.001833,0.011817
1431,'2019/01/26 16:11:44:397',10,0.003754,0,-0.986511,0.996536,0.007446,0,1.021176,1.021176,0.001833,0.011817
1432,'2019/01/26 16:11:44:428',10,0.000824,0,-0.982117,0.991704,0.005767,0,1.021176,1.021176,0.001833,0.011817
1433,'2019/01/26 16:11:44:458',10,0,0,-0.980103,0.989825,0.00568,0,1.021176,1.021176,0.001833,0.011817
1434,'2019/01/26 16:11:44:487',10,0,0,-0.97374,0.984713,0.006063,0,1.021176,1.021176,0.001833,0.011817
1435,'2019/01/26 16:11:44:517',10,0,0,-0.979309,0.989283,0.005371,0,1.021176,1.021176,0.001833,0.011817
1436,'2019/01/26 16:11:44:551',10,0,0,-0.978409,0.98755,0.005063,0,1.021176,1.021176,0.001833,0.011817
1437,'2019/01/26 16:11:44:578',10,0,0,-0.984085,0.994488,0.005004,0,1.021176,1.021176,0.001833,0.011817
1438,'2019/01/26 16:11:44:608',10,0,0,-0.978012,0.98837,0.005141,0,1.021176,1.021176,0.001833,0.011817
1439,'2019/01/26 16:11:44:646',10,0.00058,0,-0.990402,1.00095,0.004497,0,1.021176,1.021176,0.001833,0.011817
1440,'2019/01/26 16:11:44:668',10,0.00058,0,-0.982285,0.992012,0.00448,0,1.021176,1.021176,0.001833,0.011817
1441,'2019/01/26 16:11:44:698',10,0.00058,0,-0.97963,0.989588,0.004176,0,1.021176,1.021176,0.001833,0.011817
1442,'2019/01/26 16:11:44:736',10,0.00058,0,-0.977509,0.988667,0.004259,0,1.021176,1.021176,0.001833,0.011817
1443,'2019/01/26 16:11:44:759',10,0.00058,0,-0.982681,0.992022,0.004314,0,1.021176,1.021176,0.001833,0.011817
1444,'2019/01/26 16:11:44:790',10,0.00058,0,-0.989319,1.000498,0.004366,0,1.021176,1.021176,0.001833,0.011817
1445,'2019/01/26 16:11:44:822',10,0.00058,0,-0.973083,0.984584,0.005109,0,1.021176,1.021176,0.001833,0.011817
1446,'2019/01/26 16:11:44:850',10,0.00058,0,-0.982147,0.992829,0.005002,0,1.021176,1.021176,0.001833,0.011817
1447,'2019/01/26 16:11:44:880',10,0.00058,0,-0.982468,0.992267,0.004955,0,1.021176,1.021176,0.001833,0.011817
1448,'2019/01/26 16:11:44:912',10,0.00058,0,-0.989105,0.998386,0.005228,0,1.021176,1.021176,0.001833,0.011817
1449,'2019/01/26 16:11:44:940',10,0,0,-0.977478,0.987031,0.004783,0,1.021176,1.021176,0.001833,0.011817
1450,'2019/01/26 16:11:44:970',10,0,0,-0.984116,0.99403,0.004841,0,1.021176,1.021176,0.001833,0.011817
1451,'2019/01/26 16:11:45:001',10,0,0,-0.980133,0.990375,0.004821,0,1.021176,1.021176,0.001833,0.011817
1452,'2019/01/26 16:11:45:030',10,0,0,-0.979065,0.98975,0.004704,0,1.021176,1.021176,0.001833,0.011817
1453,'2019/01/26 16:11:45:060',10,0,0,-0.983093,0.994041,0.004712,0,1.021176,1.021176,0.001833,0.011817
1454,'2019/01/26 16:11:45:090',10,0,0,-0.978073,0.988416,0.004138,0,1.021176,1.021176,0.001833,0.011817
1455,'2019/01/26 16:11:45:121',10,0,0,-0.98407,0.994308,0.003296,0,1.021176,1.021176,0.001833,0.011817
1456,'2019/01/26 16:11:45:175',10,0,0,-0.979294,0.989426,0.003391,0,1.021176,1.021176,0.001833,0.011817
1457,'2019/01/26 16:11:45:180',10,0,0,-0.989563,0.998779,0.004139,0,1.021176,1.021176,0.001833,0.011817
1458,'2019/01/26 16:11:45:211',10,0,0,-0.979721,0.990762,0.003532,0,1.021176,1.021176,0.001833,0.011817
1459,'2019/01/26 16:11:45:249',10,0,0,-0.975128,0.985723,0.003852,0,1.021176,1.021176,0.001833,0.011817
1460,'2019/01/26 16:11:45:271',10,0,0,-0.978287,0.989573,0.003812,0,1.021176,1.021176,0.001833,0.011817
1461,'2019/01/26 16:11:45:303',10,0,0,-0.973282,0.983954,0.004411,0,1.021176,1.021176,0.001833,0.011817
1462,'2019/01/26 16:11:45:331',10,0,0,-0.98616,0.995994,0.004766,0,1.021176,1.021176,0.001833,0.011817
1463,'2019/01/26 16:11:45:361',10,0,0,-0.981003,0.99134,0.004701,0,1.021176,1.021176,0.001833,0.011817
1464,'2019/01/26 16:11:45:391',10,0,0,-0.984177,0.995231,0.004747,0,1.021176,1.021176,0.001833,0.011817
1465,'2019/01/26 16:11:45:422',10,0,0,-0.97525,0.986233,0.004924,0,1.021176,1.021176,0.001833,0.011817
1466,'2019/01/26 16:11:45:468',10,0,0,-0.979599,0.990126,0.004919,0,1.021176,1.021176,0.001833,0.011817
1467,'2019/01/26 16:11:45:497',10,0,0,-0.990707,1.000339,0.005143,0,1.021176,1.021176,0.001833,0.011817
1468,'2019/01/26 16:11:45:512',10,0,0,-0.977112,0.987204,0.005233,0,1.021176,1.021176,0.001833,0.011817
1469,'2019/01/26 16:11:45:542',10,0,0,-0.999496,1.011204,0.007533,0,1.021176,1.021176,0.001833,0.011817
1470,'2019/01/26 16:11:45:599',10,0,0,-0.969284,0.979696,0.008464,0,1.021176,1.021176,0.001833,0.011817
1471,'2019/01/26 16:11:45:602',10,0,0,-0.990677,1.002235,0.008361,0,1.021176,1.021176,0.001833,0.011817
1472,'2019/01/26 16:11:45:636',10,0,0,-0.959518,0.970714,0.010899,0,1.021176,1.021176,0.001833,0.011817
1473,'2019/01/26 16:11:45:670',10,0,0,-0.980621,0.991981,0.010899,0,1.021176,1.021176,0.001833,0.011817
1474,'2019/01/26 16:11:45:714',10,0,0,-0.979187,0.991385,0.01084,0,1.021176,1.021176,0.001833,0.011817
1475,'2019/01/26 16:11:45:722',10,0,0,-0.985123,0.996444,0.010798,0,1.021176,1.021176,0.001833,0.011817
1476,'2019/01/26 16:11:45:753',10,0,0,-0.985336,0.996875,0.010854,0,1.021176,1.021176,0.001833,0.011817
1477,'2019/01/26 16:11:45:783',10,0,0,-0.973099,0.983526,0.010678,0,1.021176,1.021176,0.001833,0.011817
1478,'2019/01/26 16:11:45:824',10,0,0,-0.980103,0.990979,0.010636,0,1.021176,1.021176,0.001833,0.011817
